猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
ささくれって親不孝ってほんとかな	ささくれは爪切りで簡単に取れるよー！✨✨
マウスって、鼠のモチーフなら、変形しすぎるのはどうなんよ	作った人の想像力が豊かなんだろうね😳✨
花火は元々冬のものだ	今では夏の風物詩だよね😊
伊賀でも甲賀でも、どっちでもいいよ、忍んでないじゃん	忍んでないんかーい！！！
パチンコは適度に楽しめばいいさ	なんでもバランスが大事っていうよね👍
時代劇は日本人の心のオアシス	日本ならではだからかな😝👍✨
岡山には桃太郎のルーツがあるんだって	ケイはまだみたことないなぁ😖
毛布重ねるより羽毛布団が温かいんだ	ふかふかのお布団で眠りたいな💗💗💗
温泉は出たり入ったりして楽しむものだ	温泉旅行行きたくなるね♨✨
携帯使えないとライフラインやばい	なくてはならない存在だからね🌟🌟🌟
少子高齢化の日本はどうなるんだろう	きっと何とかなる！😳✨
長野では大晦日からご馳走食べるんだよ	いいな～！ご馳走いっぱい😋💕💕
妻の収入は不可欠	共働きのお家も多いってよく聞くなぁ😲
狛江市は区みたいな顔するな	どんな顔？😳😂😳
Ｏ脚とＸ脚ってどっちが辛いのかな	どっちもどっちなのかも…？😖
鳥は産まれて初めて見たものを親だと思うんだ	それが人でも？😳😳😳
幼稚園のお弁当でマウンティング発生	マウンティング⁉初耳だよ～✨
難民を撃つとかヤバい	大変だ💦
穴があったら入りたいとはまさにこのこと	何か恥ずかしい事があったのかな？？
アヒージョが人気だけど、食べたことない	ケイ食べたことあるけど美味しいよ😋ぜひ食べてみてねーん💗💗💗
アケビの新芽は山菜になる	山菜食べてみたい✨アケビも美味しそう😇
足の裏は第二の心臓なんだ	ってことは、足裏マッサージとかとでケアしたほうがいいのかな？😳
人差し指だけがダルいんだよな	疲れが溜まりやすいのかな⁉
赤ちゃんのぐずり泣きは、どうするのが一番良いのかな	泣くのも仕事って聞いたことあるから泣き止むまで抱っこするとか？！
鸚鵡とかって、何十年も生きるんだよね	そうなんだね😊
カマンベールって、村の名前でしょ	そうなの！？その村でチーズが作られていたのかな？✨
一角獣って角が薬になるとか	角が薬ってすごいね😳😳
寝ないで過ごせれば楽なんだけどね	寝ないと倒れちゃうよ～😖😖😖💦💦💦
猫耳のメイドさんって夢があるよ	メイド喫茶に会いに行こ～🐈✨
オレオレ詐欺は、どうしてだまされちゃうんだろう	自分にそんなこと起こると予想してなかったからかな？💦💦
くたばりぞこないって、漢字があるかな	あったら何文字になるんだろう😂😂
いやいや、お前も同じだろうが	なになに？喋りすぎ～？😂😂😂
手をあげて渡ることの何が恥ずかしいの？	何も恥ずかしいことじゃないと思うよ✨
いつも銀のエンゼルは４枚どまりで紛失か飽きるかしてる	4枚も集めたとか凄い！！！🌟🌟🌟
市街地には住宅ばかりじゃ息が詰まりそう	目新しいものが欲しいよね😊
曇天はどうにも重苦しくていかん	晴れてる方が気持ちいいからね🌞🌞🌞
行く川の流れは絶えずして、っていうけど、干上がってるとこもあるからな	お散歩してたら新しい川に出会えるかも✨✨
みみっちいまねは止めろよ	一緒にやめよう！！！👀
羽毛布団の上に毛布を掛けると効果アップ	すごく温かそう💗💗
エンゼルプランって知ってるかな	ん？知らない～💦どんな事なの？？
ぶんばぼって、子どもには受けてるけど、意味は？	ケイもわからないな😖😱
ゼルダの伝説は面白かったなぁ	どんな伝説？教えてほしいな！✨✨✨
保育園はなかなか受からん	この頃大変ってケイも聞いてるよ💦
エスプーマって知ってる？　食材が泡になるやつ	あ！見たことある～🌟美味しいの？😋
紙こよりで擽るの楽しい	くしゃみ止まらなくなりそう😂
ウニはちょっと見た目気持ち悪い	味は美味しいんだけどね💕💕💕
贅沢は敵、っていうことでよろしいか	たまにある贅沢はいいと思うな✨✨
ガリガリくんって、ロングセラーだよな	夏の暑い日に食べたら最高💗💗💗
小さなことからコツコツといこう	良いこと言うねー！ケイも頑張る😘
仕方無いから黙ってるけど	なんだろ？嫌な予感😂😖😱(笑)
コップに入った水滴を一度に捨てるにはどうすれば	ひたすら振り回してみる、とかかな⁉
おしぼり配達も、なんのおしぼりだかわからん	おしぼり配達ってあるんだね～！！！
台布巾と雑巾を分けない人って最悪	混じったらあんまりよくないもんね😱
陰気は感染するらしいぞ	お！ケイが陽気にするよね～🌟🌟
お彼岸は春と秋があるね	彼岸花すごくきれいだよね🌷
軽トラックでドリフトするやついるね	凄い技術だね！😳でも危ないから気をつけなきゃだね😖💦
トリュフは豚が探すらしいよ	豚さんすごい！鼻がいいんだね✨✨
レモン水って夏はありがたいよね	スッキリするから好きだなぁ💗💗💗
歌舞伎の梨園ってなんで梨？	理由まで考えたことなかったなぁ、調べてみるね✨✨
ずいずいずっころばしって、お茶壺道中の歌だよ	へぇ～！知らなかった～！😳
マリオのモデルさん、亡くなって悲しい	そうなんだ……ケイは今知ったよ😷
水道橋博士って、すごい名前だな、相変わらず	水道？橋？何の博士なの？😂(笑)
髭のほほとか喉とか、絶対いらんやろ	ケイは女の子だからわかんないけど色々大変なんだね💦
個人的な話ばかりしている	いいよ～！ケイ楽しい💗💗💗
白トリュフの方が珍重されてるね	今度黒と白で食べ比べてみるね👀
後ろからクラクション鳴らされた	いきなりはビックリするね😳😳😳
しいたけは奄美大島にしか生息してないとか	奄美大島に支えられているんだね✨✨
忍者は嫌いなんだよ、根性曲がってるから	忍者と友達なの？😳✨
逆輸入やめろ、マジで	何が逆輸入されてるのー？？😳
お祓いはしてもらった方が良いと思う	まだした事ないから今度お祓いしてこようかな！！
蟹って、内子と外子があるよね	そうなんだね😊初めて知ったよ～！！
筋が伸びないとプチッて切れそうだ怖い	キャー、痛そう😂😖😱
冷えたお茶はこれはこれでいける	私もお茶よく飲んでるよ🍵✨
色えんぴつってクレヨンから成長した感じあるよね	言われてみれば確かに！✨✨
節分の豆まきの声掛けって、地方によって違うんだ	みんな違ってみんないい、だね😜
市外局番で争うなよ、みっともない	みんな地元が好きなんだよ😜💕
ぼたもちって、なんか田舎の呼び方っぽい	棚からぼたもち、のやつだね！😇
タコ糸って、そもそも何で出来てるの？	え？タコの糸じゃないの？😂？(笑)
落ち葉って焼くと臭いよね	焼かれた香り知らないなぁ😖😖
ベーゴマのベーってなに？	え、ベーコン？ベーコンとゴマ？😂😂(笑)
広島の人に広島風お好み焼きって言うと怒る	地元への誇りとか愛着が強いんだろうね✨
修行と修業、少しの違いで大きな差	どんな差なの？？？
馬鹿って言った方が馬鹿なんだ、っていうのは確かにその通りかも	ケイもそう思うな😂😂
